
user_id,text,timestamp,likes,replies,shares
user_001,"KÁISER 2030 ...!!! LA CAMPAÑA COMIENZA HOY.",2025-11-17T16:30:00Z,407,18,157
user_002,"Chile merece esperanza de un futuro mejor, para ancianos y niños. En diciembre voto Jeannette Jara",2025-11-18T15:50:00Z,357,55,193
user_003,"Siguen las historias triste de Jeannette Jara. Tiene mas historias tristes que Heidi.",2025-11-17T12:01:00Z,1372,236,481
user_004,"Jeannette Jara no pierde el Tiempo, lanza su Campaña Presidencial de Segunda Vuelta desde La Pintana, donde pese a liderar con un 30%, Franco Parisi logró un 26%. AHORA COMENZO LA VERDADERA CAMPAÑA PRESIDENCIAL",2025-11-17T18:25:00Z,2300,506,719
user_005,"Sebastián Sichel apunta a 'fin' de CHILE Chile Vamos y asegura: 'Voy a votar por Kast y hare lo que pueda para que no gane Jara'",2025-11-17T12:14:00Z,132,2,64
user_006,"Jaime Guzmán fue el ideólogo de la Dictadura, y su 'General civil', la Mano derecha de Pinochet y el mentor de José Antonio Kast. ¡Quién no conoce su historia está condenado a repetirla!",2025-11-18T14:28:00Z,446,167,317
user_007,"Encuesta @PanelCiudadano 17 Nov, CHILE Kast arrasa en segunda vuelta: Republicano sumaría votos de Kaiser, Matthei y la mitad de los de Parisi. Kast: 61%, Jara: 39%.  Votante obligado: Kast: 62%, Jara: 22%",2025-11-17T23:32:00Z,450,11,225





